zone;continent;year;decade;Brevpct_nb;Brevtech_nb;Brevtic_nb;Brevtriad_%brev;Brevtriad_nb;CBPRD_$;CBPRDciv_%cbprd;CBPRDdef_%cbprd;CBPRDdeveco_%cbprdciv;CBPRDenssoc_%cbprdciv;CBPRDrechnonor_%cbprdciv;CBPRDsantenv_%cbprdciv;CBPRDspace_%cbprdciv;CBPRDuniv_%cbprdciv;Cher_nb;DIRDES_$;DIRDES_%dird;DIRDES_%pib;DIRDEScher_%cher;DIRDEScher_etp;DIRDEScher_nb;DIRDEScherfme_%cher;DIRDEScherfme_nb;DIRDESentr_%dirdes;DIRDESper_etp;DIRDESpers_%pers;DIRDET_$;DIRDET_%dird;DIRDET_%pib;DIRDETcher_%cher;DIRDETcher_etp;DIRDETcher_nb;DIRDETcherfme_%cher;DIRDETcherfme_nb;DIRDETentr_%dirdet;DIRDETper_etp;DIRDETpers_%pers;DIRDE_$;DIRDE_%dird;DIRDE_%pib;DIRDEaero_%dirde;DIRDEcher_%cher;DIRDEcher_etp;DIRDEcher_nb;DIRDEcherfme_%cher;DIRDEcherfme_nb;DIRDEelec_%dirde;DIRDEensup_%dirde;DIRDEentr_$;DIRDEentr_%dirde;DIRDEgov_%dirde;DIRDEmanuf_%dirde;DIRDEper_etp;DIRDEpers_%pers;DIRDEpharma_%dirde;DIRDErm_%dirde;DIRDEserv_%dirde;DIRDEtic_%dirde;DIRDISBL_%dird;DIRD_$;DIRD_$pers;DIRD_%pib;DIRDciv_%pib;DIRDensup_$;DIRDensup_%dird;DIRDensup_%pib;DIRDentr_$;DIRDentr_%dird;DIRDentr_%pib;DIRDgov_$;DIRDgov_%dird;DIRDgov_%pib;DIRDrm_$;DIRDrm_%dird;DIRDrm_%pib;Empltot_nb;Exportaero_%export;Exportelec_%export;Exportpharma_%export;PIB_ind;PPA_$;Pop_nb;RDcher_1kemp;RDcher_etp;RDcherfme_%cher;RDcherfme_nb;RDpers_1kemp;RDpers_etp;Rechfond_%pib
Afrique du Sud;Africa;1981;1980;-0.2609872396020704;-0.3005365075091832;-0.24836636532057288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.1566564012085467;-0.3002342001914001;;;;;;;;
Afrique du Sud;Africa;1982;1980;-0.2609872396020704;-0.30076661912762964;-0.24836636532057288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.1494785527248608;-0.300038032834409;;;;;;;;
Afrique du Sud;Africa;1983;1980;-0.2609872396020704;-0.3007038602724378;-0.24836636532057288;;;;;;;;;;;;-0.5015586404870858;-0.44840144446250985;-0.37466577492747966;-1.005641172527861;;;;;;;;;-0.30908174257627585;1.0345960505306773;-0.047180660921065605;;;;;;;;;-0.3214579248668462;-0.4025655542634518;-0.8139344636495478;;;;;;;;;;;;;;;;;;;-0.3569486683312136;-0.3321474566220723;;-0.9112009330118909;;;;;;;;;;;;;;;;;;-1.1398120882356186;-0.2996905715961113;;;-0.4177719540708924;;;;-0.3291323762473645;
Afrique du Sud;Africa;1984;1980;-0.2609872396020704;-0.3006411014172459;-0.24836636532057288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.1319877688512663;-0.2994466129124046;;;;;;;;
Afrique du Sud;Africa;1985;1980;-0.2609872396020704;-0.3005365075091832;-0.24836636532057288;-0.32810824006984546;-0.3291649612313886;;;;;;;;;;-0.4761291754552694;-0.4427531728199968;0.36989141326301495;-0.6480986511146082;;;;;;;;;-0.33687399466784135;1.1757496406864583;0.11956617901675301;;;;;;;;;-0.3337650709784948;-1.0546807122098976;-0.8982227325391852;;;;;;;;;;;;;;;;;;;-0.29155690493054187;-0.34374093950517937;-0.9110632070586951;-0.8847456555407871;;;;;;;;;;;;;;;;;;-1.1192095506792337;-0.29898929670785607;-0.15068754039459387;;-0.43632596622049513;;;;-0.3516629386742976;
Afrique du Sud;Africa;1986;1980;-0.2609872396020704;-0.30071641204347616;-0.24836636532057288;-0.322804586225065;-0.3259939032584503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.1039827467037306;-0.29840861200846885;-0.14667593947110774;;;;;;;
Afrique du Sud;Africa;1987;1980;-0.2609872396020704;-0.30018086562858187;-0.24836636532057288;-0.33474161849251055;-0.33132343879709375;;;;;;;;;;-0.4603349867326019;-0.4608783770678088;0.11886365372898769;-0.854876266295567;;;;;;;;;-0.33394841696308636;1.5245888644895893;0.15184314661083614;;;;;;;;;-0.33537614647857356;-1.1216760224456304;-0.9426197536193207;;;;;;;;;;;;;;;;;;;-0.2975224693719649;-0.34617454870374026;-0.9178805709340865;-0.9613180892042521;;;;;;;;;;;;;;;;;;-1.0889244915847338;-0.2978820871503021;-0.1426304504648725;;-0.43156699755045697;;;;-0.3497852548150318;
Afrique du Sud;Africa;1988;1980;-0.26049765750781023;-0.30047374865399135;-0.24836636532057288;-0.3309531339078212;-0.32856710329417976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.0708875778000688;-0.2973185031680609;-0.1385471764247892;;;;;;;
Afrique du Sud;Africa;1989;1980;-0.2609872396020704;-0.3004319010493493;-0.24836636532057288;-0.3328615098368737;-0.3292038425050115;;;;;;;;;;-0.47632078606368994;-0.4502303435221953;0.42903388696489014;-0.8024069157487282;;;;;;;;;-0.344959267923952;1.2073777644612889;-0.18786005713865236;;;;;;;;;-0.3355733003580942;-1.1385058595729747;-0.9675171264152446;;;;;;;;;;;;;;;;;;;-0.21829356976749034;-0.34644520436184306;-0.9165423944046847;-1.0123376396259458;;;;;;;;;;;;;;;;;;-1.0472738627679223;-0.29660365577579484;-0.13442706109793282;;-0.43646991851010986;;;;-0.3541047358158374;
Afrique du Sud;Africa;1990;1990;-0.2609872396020704;-0.300139030575711;-0.24836636532057288;-0.3366001796807107;-0.33177981024718245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.0224003473789178;-0.29592902957218725;-0.13027321480197693;;;;;;;
