zone;continent;year;decade;Brevpct_nb;Brevtech_nb;Brevtic_nb;Brevtriad_%brev;Brevtriad_nb;CBPRD_$;CBPRDciv_%cbprd;CBPRDdef_%cbprd;CBPRDdeveco_%cbprdciv;CBPRDenssoc_%cbprdciv;CBPRDrechnonor_%cbprdciv;CBPRDsantenv_%cbprdciv;CBPRDspace_%cbprdciv;CBPRDuniv_%cbprdciv;Cher_nb;DIRDES_$;DIRDES_%dird;DIRDES_%pib;DIRDEScher_%cher;DIRDEScher_etp;DIRDEScher_nb;DIRDEScherfme_%cher;DIRDEScherfme_nb;DIRDESentr_%dirdes;DIRDESper_etp;DIRDESpers_%pers;DIRDET_$;DIRDET_%dird;DIRDET_%pib;DIRDETcher_%cher;DIRDETcher_etp;DIRDETcher_nb;DIRDETcherfme_%cher;DIRDETcherfme_nb;DIRDETentr_%dirdet;DIRDETper_etp;DIRDETpers_%pers;DIRDE_$;DIRDE_%dird;DIRDE_%pib;DIRDEaero_%dirde;DIRDEcher_%cher;DIRDEcher_etp;DIRDEcher_nb;DIRDEcherfme_%cher;DIRDEcherfme_nb;DIRDEelec_%dirde;DIRDEensup_%dirde;DIRDEentr_$;DIRDEentr_%dirde;DIRDEgov_%dirde;DIRDEmanuf_%dirde;DIRDEper_etp;DIRDEpers_%pers;DIRDEpharma_%dirde;DIRDErm_%dirde;DIRDEserv_%dirde;DIRDEtic_%dirde;DIRDISBL_%dird;DIRD_$;DIRD_$pers;DIRD_%pib;DIRDciv_%pib;DIRDensup_$;DIRDensup_%dird;DIRDensup_%pib;DIRDentr_$;DIRDentr_%dird;DIRDentr_%pib;DIRDgov_$;DIRDgov_%dird;DIRDgov_%pib;DIRDrm_$;DIRDrm_%dird;DIRDrm_%pib;Empltot_nb;Exportaero_%export;Exportelec_%export;Exportpharma_%export;PIB_ind;PPA_$;Pop_nb;RDcher_1kemp;RDcher_etp;RDcherfme_%cher;RDcherfme_nb;RDpers_1kemp;RDpers_etp;Rechfond_%pib
Afrique du Sud;Africa;1981;1980;-0.2609872396020704;-0.3005365075091832;-0.24836636532057288;-0.3346845752716163;-0.32800959044614675;-0.3391028072524298;0.40457895154184237;-0.40457895158514195;-0.10280758426239979;-0.18393950095946324;-0.22379822116363987;-0.24125362113471957;-0.33777042735058393;-0.0013104311251915367;-0.35913496686993357;-0.3480171126221319;-0.05795299902918504;-0.08233782369688716;-0.16954869540000259;-0.3473107862716564;-0.3707088587948347;0.08407129846538544;-0.36772709946941334;-0.25494971331745037;-0.3527509253742875;-0.15261391823408965;-0.33256428902214846;-0.1682924904645431;-0.09801001881791321;-0.12147229215721547;-0.2799643949610604;-0.2937478187818308;0.03896916225384712;-0.28397704126424395;-0.3207549013009647;-0.30051585049184676;-0.11902244111055921;-0.29061614125160257;0.14890135981269528;-0.21108727307687114;-0.48341147105639276;0.09101872725554663;-0.3362600662122442;-0.33145509250673744;-0.09875513244240569;-0.38335853788021984;-0.2974441702861561;-0.32313805467941725;-0.2775133385792427;0.17457318494037838;-0.2727694980454855;0.06642575804854738;-0.27231480283674653;0.18504960699241596;-0.33928045710191873;-0.26045230459504104;-0.032903340103255956;-0.2557366010882646;-0.2760782632401007;-0.2951912220506155;-0.3568639521225402;-0.15962289400347657;-0.19331330642359235;-0.2653119129686043;-0.30861681125620155;-0.36034510097444916;-0.30756757472859236;-0.03703054432478282;-0.23678945848431537;-0.3451891799928538;-0.08601393894650547;-0.08428890226432499;-0.26975931918429;-0.25650678994125525;-0.23171832345534554;-0.2379780508347513;-0.31428391343476003;-0.3814956925972463;-0.5022787237157809;-1.1566564012085467;-0.3002342001914001;-0.29927249591485094;-0.10058537802213285;-0.3486447277101999;0.026703277945824656;-0.4228679444621613;0.00625296379443395;-0.2875106452087072;-0.10796842547281142
Afrique du Sud;Africa;1982;1980;-0.2609872396020704;-0.30076661912762964;-0.24836636532057288;-0.3348882044478094;-0.3281579357953404;-0.3391042542655861;0.40457892025501974;-0.40457892029831943;-0.10280757631210323;-0.18393948673508873;-0.22379820385691837;-0.24125360247814043;-0.33777040123018554;-0.0013104310238535265;-0.35913493909737665;-0.34801708570933876;-0.05795299454757475;-0.08233781732955424;-0.1695486822884951;-0.34731075941348477;-0.3707088301272477;0.08407129196399978;-0.36772707103241115;-0.2549496936017276;-0.35275089809542;-0.15261390643217912;-0.33256426330435007;-0.1682924774501802;-0.09801001123862106;-0.12147228276354327;-0.2799643733109071;-0.2937477960657804;0.038969159240291276;-0.28397701930378544;-0.32075487649640755;-0.3005158272524122;-0.11902243190633842;-0.2906161187777304;0.14890134829788362;-0.2110872567531103;-0.48341143367330885;0.09101872021690371;-0.33626004020864475;-0.33145506687471527;-0.09875512480549256;-0.3833585082344103;-0.2974441472842601;-0.32313802969056654;-0.277513317118634;0.17457317144031806;-0.27276947695172654;0.0664257529117233;-0.27231478177815;0.18504959268219498;-0.33928043086474696;-0.2604522844537929;-0.03290333755878112;-0.2557365813116904;-0.2760782418904689;-0.29519119922294407;-0.3568639245256049;-0.1596228816595493;-0.19331329147432447;-0.2653118924515539;-0.30861678739030496;-0.3603450731083103;-0.3075675509438351;-0.0370305414611438;-0.23678944017295803;-0.3451891532987498;-0.0860139322948919;-0.08428889574611163;-0.2697592983233137;-0.25650677010512096;-0.2317183055361482;-0.2382226479262236;-0.3142838891306163;-0.38149566309549393;-0.5022786848736581;-1.1494785527248608;-0.300038032834409;-0.2994273198834839;-0.10058537024368353;-0.3486447007488721;0.02670327588081185;-0.4228679117610179;0.006252963310880943;-0.28751062297498875;-0.10796841712341769
Afrique du Sud;Africa;1983;1980;-0.2609872396020704;-0.3007038602724378;-0.24836636532057288;-0.33439809410696936;-0.3305733966165608;-0.3652922202913974;0.40457893020842245;-0.40457893025172204;-0.102807578841363;-0.18393949126034623;-0.22379820936277525;-0.241253608413433;-0.3377704095399729;-0.0013104310560925953;-0.5015586404870858;-0.44840144446250985;-0.37466577492747966;-1.005641172527861;-0.16954868645971172;-0.34731076795798294;-0.37070883924738235;0.08407129403231171;-0.36772708007918903;-0.25494969987396976;-0.35275090677375587;-0.15261391018676837;-0.30908174257627585;1.0345960505306773;-0.047180660921065605;-0.12147228575198998;-0.27996438019855746;-0.2937478032925288;0.0389691601990059;-0.2839770262901544;-0.3207548843875811;-0.300515834645667;-0.1190224348345142;-0.3214579248668462;-0.4025655542634518;-0.8139344636495478;-0.48341144556613963;0.09101872245613549;-0.3362600484812744;-0.33145507502913363;-0.09875512723505445;-0.3833585176657509;-0.2974441546019458;-0.3231380376403701;-0.27751332394598377;0.17457317573514655;-0.2727694836623689;0.0664257545459218;-0.272314788477606;0.1850495972347631;-0.3392804392116838;-0.2604522908614092;-0.03290333836826513;-0.25573658760329154;-0.3569486683312136;-0.3321474566220723;-0.9113094988231447;-0.9112009330118909;-0.1933132962301952;-0.2653118989787256;-0.3086167949828586;-0.36034508197347714;-0.30756755851057554;-0.03703054237216481;-0.23678944599842378;-0.34518916179105247;-0.08601393441099649;-0.08428889781977707;-0.2697593049599;-0.25650677641567016;-0.23171831123685457;-0.14228579182436898;-0.31428389686259117;-0.38149567248100513;-0.5022786972306588;-1.1398120882356186;-0.2996905715961113;-0.12070947231463434;-0.10058537271827289;-0.4177719540708924;0.026703276537762687;-0.4228679221643642;0.0062529634647156065;-0.3291323762473645;-0.10796841977964387
Afrique du Sud;Africa;1984;1980;-0.2609872396020704;-0.3006411014172459;-0.24836636532057288;-0.3361051012566707;-0.3293234351111939;-0.3391070166321578;0.40457894512627895;-0.40457894516957854;-0.10280758263214056;-0.18393949804266413;-0.2237982176147858;-0.2412536173090685;-0.33777042199442897;-0.0013104311044115288;-0.3591349611749929;-0.34801710710349126;-0.05795299811020215;-0.08233782239122475;-0.169548692711404;-0.3473107807642163;-0.3707088529163623;0.08407129713223467;-0.36772709363822387;-0.25494970927461513;-0.352750919780581;-0.1526139158140323;-0.3325642837485491;-0.16829248779586456;-0.09801001726373082;-0.12147229023098281;-0.2799643905215578;-0.29374781412375917;0.03896916163589819;-0.28397703676111125;-0.3207548962146314;-0.3005158457264519;-0.11902243922317476;-0.29061613664319114;0.14890135745150937;-0.21108726972957942;-0.48341146339075197;0.09101872581222781;-0.3362600608800396;-0.33145508725072714;-0.09875513087640775;-0.38335853180115675;-0.29744416556947006;-0.3231380495552933;-0.2775133341786074;0.17457318217210452;-0.2727694937200751;0.0664257569952087;-0.2723147985185464;0.1850496040580135;-0.33928045172181864;-0.2604523004649491;-0.0329033395814951;-0.25573659703295143;-0.2760782588622219;-0.29519121736965526;-0.35686394646361186;-0.15962289147227524;-0.1933133033581492;-0.26531190876145166;-0.3086168063623466;-0.36034509526031894;-0.3075675698513755;-0.0370305437375753;-0.23678945472945426;-0.3451891745190568;-0.08601393758254951;-0.08428890092772359;-0.2697593149066132;-0.2565067858737289;-0.23171831978089938;-0.2386725810436995;-0.3142839084510397;-0.38149568654772303;-0.5022787157509548;-1.1319877688512663;-0.2994466129124046;-0.2999768733469615;-0.10058537642711199;-0.3486447221816069;0.026703277522380556;-0.4228679377565824;0.006252963695278309;-0.28751064064954085;-0.10796842376071478
Afrique du Sud;Africa;1985;1980;-0.2609872396020704;-0.3005365075091832;-0.24836636532057288;-0.32810824006984546;-0.3291649612313886;-0.36419591487527087;0.4045789177160898;-0.40457891775938937;-0.10280757566693555;-0.1839394855807788;-0.2237982024524755;-0.24125360096415643;-0.33777039911051143;-0.0013104310156299328;-0.4761291754552694;-0.4427531728199968;0.36989141326301495;-0.6480986511146082;-0.16954868122449446;-0.34731075723394034;-0.370708827800869;0.0840712914364114;-0.3677270687247446;-0.25494969200179396;-0.3527508958817361;-0.15261390547445244;-0.33687399466784135;1.1757496406864583;0.11956617901675301;-0.12147228200124549;-0.2799643715539941;-0.2937477942223697;0.038969158995740785;-0.2839770175216912;-0.32075487448351436;-0.3005158253665288;-0.11902243115941463;-0.3337650709784948;-1.0546807122098976;-0.8982227325391852;-0.48341143063966635;0.09101871964571688;-0.336260038098449;-0.33145506479467307;-0.098755124185756;-0.38335850582864867;-0.29744414541765307;-0.3231380276627178;-0.27751331537710255;0.17457317034478628;-0.2727694752399651;0.0664257524948693;-0.2723147800692419;0.1850495915209185;-0.3392804287355968;-0.26045228281932786;-0.032903337352296634;-0.2557365797068186;-0.29155690493054187;-0.34374093950517937;-0.9110632070586951;-0.8847456555407871;-0.19331329026118932;-0.2653118907865924;-0.3086167854535841;-0.3603450708469693;-0.3075675490136988;-0.03703054122875911;-0.23678943868698876;-0.3451891511325196;-0.08601393175511254;-0.08428889521715772;-0.26975929663044257;-0.2565067684954159;-0.23171830408200286;-0.15065654349754135;-0.3142838871583315;-0.3814956607014226;-0.5022786817216144;-1.1192095506792337;-0.29898929670785607;-0.15068754039459387;-0.10058536961246128;-0.43632596622049513;0.02670327571323578;-0.4228679091073156;0.006252963271640549;-0.3516629386742976;-0.10796841644586319
Afrique du Sud;Africa;1986;1980;-0.2609872396020704;-0.30071641204347616;-0.24836636532057288;-0.322804586225065;-0.3259939032584503;-0.33910279921158487;0.40457894194841953;-0.40457894199171895;-0.10280758182461446;-0.18393949659786857;-0.2237982158569106;-0.24125361541408585;-0.33777041934133256;-0.0013104310941184428;-0.35913495835408377;-0.34801710436991;-0.05795299765499685;-0.08233782174448318;-0.16954869137964432;-0.34731077803618293;-0.3707088500045434;0.0840712964718771;-0.3677270907498259;-0.2549497072720533;-0.3527509170098168;-0.15261391461529078;-0.3325642811363456;-0.16829248647397207;-0.09801001649388831;-0.12147228927685046;-0.2799643883225124;-0.2937478118164486;0.03896916132980584;-0.2839770345305475;-0.3207548936951874;-0.3005158433659802;-0.11902243828828533;-0.2906161343604791;0.14890135628192905;-0.21108726807154532;-0.4834114595936842;0.09101872509730004;-0.3362600582388067;-0.33145508464723605;-0.09875513010071259;-0.383358528789978;-0.2974441632331256;-0.3231380470171302;-0.27751333199881434;0.17457318080087886;-0.27276949157754365;0.06642575647345214;-0.27231479637958644;0.18504960260449832;-0.33928044905686133;-0.2604522984191659;-0.03290333932304816;-0.2557365950242089;-0.27607825669370095;-0.29519121505100715;-0.3568639436605409;-0.1596228902184801;-0.19331330183972495;-0.26531190667749754;-0.308616803938244;-0.3603450924299045;-0.30756756743551444;-0.03703054344671027;-0.23678945286953637;-0.34518917180768804;-0.08601393690693301;-0.0842889002656568;-0.26975931278772586;-0.25650678385893666;-0.23171831796081388;-0.23538080086159072;-0.3143836564755315;-0.3818839670568064;-0.5026080136376898;-1.1039827467037306;-0.29840861200846885;-0.14667593947110774;-0.10058537563704074;-0.3486447194430958;0.026703277312633448;-0.4228679344350678;0.00625296364616295;-0.2875106383912216;-0.10796842291265164
Afrique du Sud;Africa;1987;1980;-0.2609872396020704;-0.30018086562858187;-0.24836636532057288;-0.33474161849251055;-0.33132343879709375;-0.3645858438580875;0.40457890597797125;-0.40457890602127083;-0.10280757268416145;-0.18393948024411047;-0.2237981959593793;-0.24125359396462373;-0.3377703893107201;-0.0013104309776101697;-0.4603349867326019;-0.4608783770678088;0.11886365372898769;-0.854876266295567;-0.1695486763053491;-0.34731074715735283;-0.3707088170454293;0.08407128899723638;-0.36772705805581507;-0.2549496846048942;-0.35275088564731294;-0.15261390104663866;-0.33394841696308636;1.5245888644895893;0.15184314661083614;-0.12147227847694901;-0.2799643634313391;-0.2937477856998138;0.03896915786512179;-0.28397700928261654;-0.3207548651773974;-0.30051581664761096;-0.11902242770619613;-0.33537614647857356;-1.1216760224456304;-0.9426197536193207;-0.4834114166143664;0.09101871700497492;-0.336260028342478;-0.33145505517810964;-0.09875512132055639;-0.3833584947062017;-0.29744413678785425;-0.32313801828745803;-0.2775133073255605;0.17457316527986452;-0.27276946732605684;0.06642575056764739;-0.2723147721685258;0.18504958615204248;-0.3392804188919947;-0.2604522752627805;-0.03290333639766638;-0.2557365722870888;-0.2975224693719649;-0.34617454870374026;-0.9178805709340865;-0.9613180892042521;-0.19331328465255723;-0.26531188308905235;-0.3086167764996316;-0.3603450603922151;-0.307567540090188;-0.037030540154385574;-0.23678943181697562;-0.34518914111748666;-0.08601392925957538;-0.08428889277166933;-0.2697592888038692;-0.2565067610533404;-0.23171829735911945;-0.14989839138165692;-0.3142838780399584;-0.3814956496330227;-0.5022786671489157;-1.0889244915847338;-0.2978820871503021;-0.1426304504648725;-0.10058536669416046;-0.43156699755045697;0.02670327493848899;-0.4228678968385753;0.006252963090222237;-0.3497852548150318;-0.10796841331335674
Afrique du Sud;Africa;1988;1980;-0.26049765750781023;-0.30047374865399135;-0.24836636532057288;-0.3309531339078212;-0.32856710329417976;-0.33910278343363287;0.4045789231239594;-0.40457892316725874;-0.10280757704112962;-0.1839394880394357;-0.22379820544391038;-0.24125360418891173;-0.3377704036253742;-0.0013104310331460208;-0.359134941644065;-0.34801708817718857;-0.05795299495852952;-0.08233781791342604;-0.16954868349079433;-0.3473107618763258;-0.3707088327560086;0.08407129256016393;-0.3677270736400279;-0.25494969540962026;-0.35275090059683806;-0.15261390751439086;-0.33256426566262115;-0.16829247864357144;-0.0980100119336271;-0.12147228362492438;-0.2799643752961832;-0.29374779814879715;0.03896915951662836;-0.28397702131751584;-0.3207548787709363;-0.3005158293834222;-0.11902243275034721;-0.2906161208385399;0.14890134935376903;-0.21108725824996674;-0.48341143710126366;0.0910187208623333;-0.33626004259312325;-0.33145506922512086;-0.09875512550578237;-0.3833585109528722;-0.2974441493934884;-0.3231380319819946;-0.27751331908652915;0.1745731726782468;-0.2727694788859824;0.06642575338275988;-0.2723147837091815;0.1850495939944138;-0.3392804332706435;-0.2604522863007054;-0.032903337792104415;-0.2557365831251631;-0.27607824384818774;-0.29519120131619625;-0.35686392705618913;-0.15962288279146297;-0.19331329284514276;-0.2653118943329267;-0.3086167895787603;-0.36034507566358;-0.3075675531248501;-0.037030541723733816;-0.23678944185207312;-0.34518915574654613;-0.08601393290483166;-0.08428889634381886;-0.2697593002362238;-0.25650677192405513;-0.23171830717930303;-0.2344859253938652;-0.31459735754106494;-0.3827453545747319;-0.5033366768468573;-1.0708875778000688;-0.2973185031680609;-0.1385471764247892;-0.10058537095695189;-0.34864470322117236;0.026703276070169427;-0.4228679147596479;0.006252963355221795;-0.28751062501377656;-0.1079684178890405
Afrique du Sud;Africa;1989;1980;-0.2609872396020704;-0.3004319010493493;-0.24836636532057288;-0.3328615098368737;-0.3292038425050115;-0.36358638179985975;0.4045789192449177;-0.40457891928821726;-0.10280757605542608;-0.18393948627585163;-0.22379820329816696;-0.24125360187580855;-0.3377704003868825;-0.0013104310205818057;-0.47632078606368994;-0.4502303435221953;0.42903388696489014;-0.8024069157487282;-0.16954868186518715;-0.3473107585463626;-0.3707088292017082;0.08407129175410105;-0.36772707011431616;-0.2549496929652011;-0.35275089721471553;-0.15261390605115177;-0.344959267923952;1.2073777644612889;-0.18786005713865236;-0.12147228246026645;-0.2799643726119271;-0.29374779533238754;0.038969159142997936;-0.28397701859478713;-0.3207548756955869;-0.30051582650212183;-0.11902243160917808;-0.3355733003580942;-1.1385058595729747;-0.9675171264152446;-0.4834114324663875;0.09101871998965955;-0.33626003936911264;-0.33145506604717967;-0.09875512455893311;-0.38335850727728865;-0.29744414654163875;-0.32313802888379584;-0.2775133164257734;0.17457317100446557;-0.27276947627070985;0.06642575274587975;-0.27231478109826834;0.18504959222018622;-0.33928043001767394;-0.26045228380352825;-0.032903337476632176;-0.25573658067319927;-0.21829356976749034;-0.34644520436184306;-0.9165423944046847;-1.0123376396259458;-0.193313290991684;-0.2653118917891563;-0.3086167866197891;-0.3603450722086458;-0.3075675501759389;-0.03703054136869058;-0.23678943958177168;-0.3451891524369247;-0.08601393208014306;-0.08428889553566965;-0.2697592976498123;-0.2565067694647069;-0.23171830495762294;-0.15117053625778137;-0.31428388834595133;-0.3814956621430232;-0.5022786836196313;-1.0472738627679223;-0.29660365577579484;-0.13442706109793282;-0.10058536999255455;-0.43646991851010986;0.026703275814142453;-0.42286791070525415;0.006252963295269325;-0.3541047358158374;-0.1079684168538556
Afrique du Sud;Africa;1990;1990;-0.2609872396020704;-0.300139030575711;-0.24836636532057288;-0.3366001796807107;-0.33177981024718245;-0.3391027831044711;0.404578922731241;-0.40457892277454033;-0.10280757694133594;-0.18393948786088846;-0.22379820522667299;-0.24125360395473064;-0.3377704032975058;-0.0013104310318740062;-0.35913494129545837;-0.3480170878393738;-0.057952994902275456;-0.08233781783350198;-0.1695486833262161;-0.3473107615391967;-0.37070883239616725;0.08407129247855724;-0.367727073283081;-0.25494969516214455;-0.35275090025442823;-0.15261390736625094;-0.33256426533980626;-0.1682924784802126;-0.09801001183849034;-0.12147228350701313;-0.27996437502442617;-0.29374779786366073;0.03896915947880161;-0.2839770210418638;-0.32075487845958456;-0.30051582909171626;-0.11902243263481402;-0.29061612055644337;0.14890134920923284;-0.21108725804506764;-0.48341143663202363;0.09101872077398285;-0.3362600422667209;-0.33145506890338255;-0.0987551254099223;-0.3833585105807521;-0.29744414910476397;-0.3231380316683295;-0.27751331881715136;0.17457317250879134;-0.27276947862120937;0.06642575331828145;-0.27231478344484983;0.18504959381478908;-0.3392804329413093;-0.2604522860478885;-0.03290333776016566;-0.25573658287692363;-0.27607824358020294;-0.2951912010296588;-0.3568639267097869;-0.15962288263651955;-0.19331329265749655;-0.26531189407539263;-0.30861678927919084;-0.3603450753137987;-0.30756755282629916;-0.037030541687788854;-0.23678944162222532;-0.3451891554114763;-0.08601393282133929;-0.08428889626200095;-0.2697592999743726;-0.2565067716750681;-0.23171830695437767;-0.2315496648371967;-0.31544788826727965;-0.3862197536013853;-0.50627294006813;-1.0224003473789178;-0.29592902957218725;-0.13027321480197693;-0.10058537085931525;-0.3486447028827484;0.02670327604424897;-0.4228679143491767;0.006252963349152141;-0.2875106247346945;-0.10796841778423726
