zone;continent;year;decade;INPUT_EXPENDITURE_R&D;INPUT_GOV_BUDGET_R&D;INPUT_HUMAN_R&D;INPUT_SECTORAL_R&D;OUTPUT_PATENTS;OUTPUT_TRADE_EXPORTS;MACRO_GDP;MACRO_EMPLOYMENT
Afrique du Sud;Africa;1981;1980;-0.5971649594371807;-0.47839003810937064;-0.6119483970843694;0.17857685801682682;-0.6346729167384264;-0.4512602057275735;-1.012844501965448;-0.34097439959674913
Afrique du Sud;Africa;1982;1980;-0.5971648932221987;-0.4783906519418724;-0.6119483194502917;0.1785768388095529;-0.6349286506089664;-0.4512601527598712;-1.0076241997848965;-0.3412518858767841
Afrique du Sud;Africa;1983;1980;-1.4994137781051893;-0.4903068976024187;-0.6704033277063022;0.17857684492004028;-0.6357419515700075;-0.45126016961069926;-1.0005363694365303;-0.14721115784169597
Afrique du Sud;Africa;1984;1980;-0.5971649458593745;-0.4783919443457645;-0.6119483811650045;0.1785768540782523;-0.6358582386535166;-0.451260194866207;-0.9948250645946427;-0.34195350315563383
Afrique du Sud;Africa;1985;1980;-1.740729632584011;-0.489808031236781;-0.6769909736985356;0.17857683725088;-0.6325333591631684;-0.4512601484615346;-0.9854569560277855;-0.17452896955027414
Afrique du Sud;Africa;1986;1980;-0.5971649391337983;-0.47839002077570275;-0.61194837327957;0.17857685212733457;-0.6291277099124915;-0.45171517568686576;-0.9742689927231397;-0.22902277186495967
Afrique du Sud;Africa;1987;1980;-1.836733291946118;-0.48998544271789174;-0.6720878149879362;0.17857683004473898;-0.6359520948098191;-0.4512601285892332;-0.9632378895716098;-0.16819726395174223
Afrique du Sud;Africa;1988;1980;-0.5971648992939812;-0.4783899867631356;-0.6119483265691827;0.17857684057082188;-0.6331664138470882;-0.45271885351973545;-0.9500711449839633;-0.22254669615413883
Afrique du Sud;Africa;1989;1980;-1.8830422681568981;-0.4895306794126893;-0.6777470094055176;0.17857683818944176;-0.6344059447517246;-0.4512601510497968;-0.9328493012261093;-0.16313519882462807
Afrique du Sud;Africa;1990;1990;-0.5971648984628377;-0.4783899860535609;-0.6119483255947042;0.17857684032972837;-0.6368737699118906;-0.45675863570029357;-0.9147628693793707;-0.214582973942961
Afrique du Sud;Africa;1991;1990;-1.5527069179137092;-0.48955480819718356;-0.6714582882299842;0.17857682251450976;-0.6325438135057088;-0.4512601078231972;-0.8936138602825283;-0.1541992987880255
Afrique du Sud;Africa;1992;1990;-0.5971648761743009;-0.4783899670251011;-0.6119482994624009;0.17857683386439355;-0.6274201944500882;-0.47717873325629234;-0.8708094847775767;-0.1999558234746494
Afrique du Sud;Africa;1993;1990;-1.625112143227475;-0.4902408344939362;-0.6775773099205191;0.1785768443912724;-0.6271625138871527;-0.45126016815252146;-0.8475698558647514;-0.14472047241455205
Afrique du Sud;Africa;1994;1990;-0.5971647921113763;-0.4783898952578071;-0.6119482009024156;0.17857680947988758;-0.6296734206300257;-0.5008051588828312;-0.827757597939784;-0.18407234404939002
Afrique du Sud;Africa;1995;1990;-0.5971648403433348;-0.4783899364350224;-0.6119482574522103;0.17857682347074605;-0.6229710243932434;-0.5133754055019776;-0.8037197524961803;-0.18004413903616123
Afrique du Sud;Africa;1996;1990;-0.5971648660672932;-0.47838995839641507;-0.6119482876123903;0.17857683093260893;-0.6244123899709983;-0.5490052450944325;-0.7840306280503021;-0.16889642068298455
Afrique du Sud;Africa;1997;1990;-1.5722596369255033;-0.49049073625952927;-0.9564782761408537;0.17857685442382668;-0.615907418693374;-0.5357977206311727;-0.7624535010592975;-0.16630686241974144
Afrique du Sud;Africa;1998;1990;-0.5971649221649216;-0.4783900062888126;-0.6119483533843277;0.17857684720509717;-0.601621782373356;-0.5408330392203721;-0.7392529637307714;-0.1621553624573257
Afrique du Sud;Africa;1999;1990;-0.5971648992992074;-0.4783899867675973;-0.6119483265753098;0.17857684057233783;-0.5960599818671071;-0.5430152615617065;-0.7179139808258735;-0.15274624856540164
Afrique du Sud;Africa;2000;2000;-0.5971648819479162;-0.47838997195422733;-0.611948306231704;0.17857683553917175;-0.5862838438499945;-0.5326388862465105;-0.687564508661715;-0.13846236284140945
Afrique du Sud;Africa;2001;2000;-1.94623265861604;-0.4783899139535521;-1.9619992716429284;0.40968021985691405;-0.5902800432499926;-0.5459159902226312;-0.6594621212945829;-0.1359290434111151
Afrique du Sud;Africa;2002;2000;-0.5971648913537302;-0.4783899799842812;-0.6119483172595963;0.36102284076768165;-0.5916013768745508;-0.5543189911872296;-0.6105572443338894;-0.13243006681818256
Afrique du Sud;Africa;2003;2000;-1.8682478012478938;-0.4783899140072377;-1.7299384628082515;0.041122385204586075;-0.5897565814021165;-0.5551573692036584;-0.5826389787835162;-0.1313617665274022
Afrique du Sud;Africa;2004;2000;-1.8891864111063794;-0.4783898939791767;-1.7001004714653218;-0.7185026732816023;-0.5914036790945498;-0.5464380956013877;-0.5546943647315123;-0.1276798211353389
Afrique du Sud;Africa;2005;2000;-1.798457768936501;-0.47838990891855043;-1.565933255092655;-1.0029374934503252;-0.5838701175475697;-0.5239907627123608;-0.5273409084918126;-0.12065806816775823
