,Brevpct_nb,Brevtech_nb,Brevtic_nb,Brevtriad_%brev,Brevtriad_nb,CBPRD_$,CBPRDciv_%cbprd,CBPRDdef_%cbprd,CBPRDdeveco_%cbprdciv,CBPRDenssoc_%cbprdciv,CBPRDrechnonor_%cbprdciv,CBPRDsantenv_%cbprdciv,CBPRDspace_%cbprdciv,CBPRDuniv_%cbprdciv,Cher_nb,DIRDES_$,DIRDES_%dird,DIRDES_%pib,DIRDEScher_%cher,DIRDEScher_etp,DIRDEScher_nb,DIRDEScherfme_%cher,DIRDEScherfme_nb,DIRDESentr_%dirdes,DIRDESper_etp,DIRDESpers_%pers,DIRDET_$,DIRDET_%dird,DIRDET_%pib,DIRDETcher_%cher,DIRDETcher_etp,DIRDETcher_nb,DIRDETcherfme_%cher,DIRDETcherfme_nb,DIRDETentr_%dirdet,DIRDETper_etp,DIRDETpers_%pers,DIRDE_$,DIRDE_%dird,DIRDE_%pib,DIRDEaero_%dirde,DIRDEcher_%cher,DIRDEcher_etp,DIRDEcher_nb,DIRDEcherfme_%cher,DIRDEcherfme_nb,DIRDEelec_%dirde,DIRDEensup_%dirde,DIRDEentr_$,DIRDEentr_%dirde,DIRDEgov_%dirde,DIRDEmanuf_%dirde,DIRDEper_etp,DIRDEpers_%pers,DIRDEpharma_%dirde,DIRDErm_%dirde,DIRDEserv_%dirde,DIRDEtic_%dirde,DIRDISBL_%dird,DIRD_$,DIRD_$pers,DIRD_%pib,DIRDciv_%pib,DIRDensup_$,DIRDensup_%dird,DIRDensup_%pib,DIRDentr_$,DIRDentr_%dird,DIRDentr_%pib,DIRDgov_$,DIRDgov_%dird,DIRDgov_%pib,DIRDrm_$,DIRDrm_%dird,DIRDrm_%pib,Empltot_nb,Exportaero_%export,Exportelec_%export,Exportpharma_%export,PIB_ind,PPA_$,Pop_nb,RDcher_1kemp,RDcher_etp,RDcherfme_%cher,RDcherfme_nb,RDpers_1kemp,RDpers_etp,Rechfond_%pib
Brevpct_nb,1.0,0.8713886777295066,0.8030180481800282,0.6644437315045758,0.7597620121827127,0.8358057907820895,-0.5276817315328137,0.5276817315318935,-0.16397144877379496,-0.0926101354828099,-0.05892725581520839,0.5333942680974715,0.49302884406675385,-0.22003120933620235,0.3070687353223356,0.9102889981076183,-0.21346422015348165,0.06748060408467232,-0.19488762129629575,0.4002340350848117,0.30052774915833613,-0.10021640866880789,0.15736724377926872,0.05172937846633712,0.42000707801699366,-0.11222266784488436,0.7913677199874042,-0.15347151979367424,0.16015838496690837,-0.16893059376756384,0.2577730502197796,0.11052328790885896,-0.13053548408368015,0.020162257456311047,-0.15302330917604756,0.190998565236753,-0.1277563070836173,0.894424194653388,0.25300068127511616,0.34351803415117155,0.3276935812949587,0.2850887423727885,0.6390119589703397,0.6719399367795796,-0.12144175349888298,0.11595428507271326,0.15508892144902403,-0.034457611917058206,0.8688713072274524,0.10989306844049129,-0.02484555088273796,0.14342025735430355,0.5214401189960259,0.16078559433918038,0.12982505812101341,-0.05021888745468277,-0.09687559956288824,0.08611452732310636,0.06740032963556739,0.9054377537374413,0.3486371506170376,0.3306193690670176,0.1724220903830029,0.9055107906970117,0.0942359309032033,0.4022172911879289,0.881598479047308,0.3088131677271434,0.3955916346469652,0.8641623640303525,-0.2564758572958919,0.1936887566661227,0.7063776300804366,-0.07530877815962966,0.012840481498313063,0.29402191538329603,0.8050599080800236,0.5198649976177682,0.42136653470537705,0.0803685836068749,-4.9223093871263924e-05,0.2915383909996715,0.16586025287901518,0.7327953420794094,-0.13524633456723534,0.14057311697775451,0.09449606728143992,0.35584802627974316,0.24148631350697475
Brevtech_nb,0.8713886777295066,1.0,0.9595637838699829,0.6993173774458871,0.819178403823348,0.7146128426806223,-0.38113047368022007,0.3811304736755235,-0.1106308619411562,-0.09913766406717864,-0.04469099792227636,0.36210909986235595,0.389602708594177,-0.1375316778598488,0.4728599468564028,0.8798481254884445,-0.2545205320710156,0.07391727011954566,-0.25325564223486213,0.5943450014378044,0.45614404559308636,-0.18909234196796368,0.31840819398490716,0.1360666132710449,0.6212627425758966,-0.1878270800771,0.8429568151858313,-0.1747045862803946,0.1962575636310906,-0.18445776585941456,0.43674921694858065,0.18157459296118436,-0.24126690962803313,0.06374364628299464,-0.13591248403582068,0.39052059168782394,-0.17926183060439793,0.8835131345936098,0.3070130360671833,0.40787937649207223,0.24920449077481438,0.35758100704295304,0.7836580565961885,0.6894876891030166,-0.22167205675111734,0.24707547287200946,0.17886173679663375,-0.04348767649746211,0.8554423557843429,0.1752117404982262,-0.07179904325486396,0.2554563988862174,0.7168733447356622,0.25229760706882504,0.10059780979060064,-0.1011898737303738,-0.18441559944097588,0.0011371086211398934,0.03795951817645308,0.8876152877123,0.36127231898168616,0.38695134731983416,0.2471240222453007,0.7490220718783477,0.07641910209861706,0.3970217605470638,0.9206461106858294,0.4097489326181991,0.4911714695745452,0.8210346818942715,-0.32874204727052886,0.17781534923561315,0.554076410537992,-0.1318812641140549,-0.01978576260504443,0.43001300462150854,0.6482099605434661,0.6600123151955857,0.4065125586989615,0.10554123118959981,0.03012396987433804,0.4139465544880136,0.18097234034762597,0.8231382195217918,-0.25607523469205284,0.3057786362166149,0.11334727639030955,0.5903714396698723,0.2088640196724225
Brevtic_nb,0.8030180481800282,0.9595637838699829,1.0,0.5840874086616201,0.6973251101560323,0.5864707149067183,-0.3136653175455337,0.31366531754121485,-0.07380131760808582,-0.08247019358342329,-0.03411152829924002,0.31577106783416553,0.29933866387656516,-0.1331488165633903,0.39194856285607454,0.8099179998372018,-0.24890574238467192,0.025195989375448268,-0.23896921117850448,0.6308551715754632,0.35431167310912937,-0.1515488670115848,0.204857351423917,0.1978480298462632,0.6517521305575534,-0.1966536755314891,0.8663834235780137,-0.14393097428750345,0.18026935219630616,-0.14164158513469818,0.5437138341839276,0.16243772641300724,-0.19455236446756805,0.02278080890638264,-0.12453210983869661,0.49254605137451063,-0.15611665703110092,0.8787254362870451,0.2820037927975113,0.3608812015517679,0.16636649014395352,0.3240618697143096,0.8263421754597802,0.6103200051401898,-0.1682095053974497,0.17760416673531834,0.17952267413394551,-0.04306534754173375,0.8535947557184015,0.17013362936767423,-0.0758302493458223,0.229106495885937,0.821733498693826,0.2439544063096856,0.06909181372939045,-0.10234743891022988,-0.14383441671122452,0.015298284168196789,0.031141377174573714,0.873170068023455,0.29403452367062266,0.33467835137102214,0.19879440319513822,0.6535292910608993,0.06432054096152928,0.33259484616899687,0.9294288969692434,0.38494335755404463,0.43873662791553913,0.786575047758343,-0.3085095762533891,0.12167535307914171,0.4903211803340251,-0.1313460689134055,-0.028920588341138323,0.5374131169905557,0.5297682854212472,0.7370900371983262,0.2905947785272784,0.09343925905495794,0.04383519433502515,0.5143778867496329,0.12585831181976725,0.8471914620626612,-0.20161493964486668,0.20282353589116425,0.06246042652954593,0.6962807452486717,0.1421789667905718
Brevtriad_%brev,0.6644437315045758,0.6993173774458871,0.5840874086616201,1.0,0.9555343467124757,0.7742233976538071,-0.5428430262485171,0.5428430262401176,-0.06249624223219982,-0.1494142911630249,-0.0844276508358701,0.31350882601434193,0.5668411899785091,-0.1345316790390859,0.4015438167087247,0.7484913445417098,-0.2878543727190239,0.07514581674977164,-0.28431190539968537,0.5336888323821608,0.48421301134622646,-0.2552626810283597,0.2844003640767783,-0.026021528661917287,0.4544766247351262,-0.18802137058041574,0.6552788934917282,-0.18422404827879876,0.24154770527197927,-0.2408641804712553,0.22457912315789824,0.10876649983669234,-0.2733361745294972,0.022113696605679974,-0.19644210114842217,0.16780260520182175,-0.1970002118678104,0.6746068602853388,0.3279916550434845,0.4244915168714557,0.4268744093720315,0.3559528037295467,0.5209626002343405,0.5104482910272939,-0.2448165579914293,0.19208566838777164,0.1739674128662622,-0.05458968990134817,0.6361864358833779,0.17247546395335295,0.012921411040266105,0.37495907724423877,0.3881692235573486,0.2572134674450651,0.07574375411214739,-0.13867920181444593,-0.34141408206815665,-0.05766415329796186,0.07377270296130276,0.6940633934671688,0.25958518090569316,0.41118329513110746,0.32105692391327967,0.7085552747867678,0.09361450071231389,0.4831615740237812,0.691323129180442,0.4270484475729123,0.5124557191111193,0.743123546613788,-0.2989124536724222,0.2918791764345509,0.3240359135697197,-0.1750614433109903,-0.060264103259056255,0.2244533573308307,0.5151140573210432,0.4202386064913574,0.31677102509422217,0.08006233093879736,0.030445179262338477,0.21913760690921252,0.16669300708757914,0.62396518750311,-0.2750432665638755,0.24638191773729662,0.1401306315822416,0.3286489543969607,0.25982669591741187
Brevtriad_nb,0.7597620121827127,0.819178403823348,0.6973251101560323,0.9555343467124757,1.0,0.7785839425856254,-0.46963602408338845,0.469636024076214,-0.08058429268287257,-0.14502684424410767,-0.0671003656466326,0.3191053503929225,0.51673094282337,-0.12817147202430826,0.4975910725499738,0.7981000368038731,-0.27540738008142207,0.09229566734375293,-0.27964964510865054,0.521576138143681,0.552162426889765,-0.29557876535998284,0.35051978831965525,-0.008707185293364486,0.5026826328937803,-0.17942698992603032,0.669765258569423,-0.1946626306212352,0.2144106510423104,-0.24470956597494029,0.22814734012070123,0.1436576674367834,-0.32280605395878725,0.03927929172385033,-0.1846022735180627,0.18588836196388725,-0.2045950022986939,0.7253720316453068,0.32862146489698457,0.43880056501420084,0.3368936487468333,0.37298372435019167,0.5918790555869702,0.6213511356677701,-0.28303271166353977,0.24708521971317854,0.1834562364211611,-0.052280338394366806,0.694512359978311,0.19320174383952707,-0.04095155942098957,0.3476515475581984,0.43912977777825957,0.2575905786239889,0.10122235281938845,-0.1296611664035654,-0.3097014377524918,-0.05361867076801611,0.0649688129954829,0.7427415121039961,0.3207138545957485,0.42261066696210664,0.33105386432754813,0.7676937617038038,0.10392165643141994,0.5093090756977665,0.7477970793801082,0.4409791091642944,0.5349763818653374,0.739707984230183,-0.33298549559857044,0.2407343642957619,0.40106045399859647,-0.16471196729141271,-0.04807159837602771,0.23742610499289596,0.5906330284469408,0.48908394211591344,0.36977639557286046,0.09730178325153062,0.03518709214084235,0.2306153421939724,0.20507877626346302,0.6746602078185787,-0.3267937231989347,0.3120897845252157,0.15103905492550843,0.36742836737253415,0.26440954700522834
CBPRD_$,0.8358057907820895,0.7146128426806223,0.5864707149067183,0.7742233976538071,0.7785839425856254,1.0,-0.720151770473675,0.7201517704710795,-0.1545874211902062,-0.13060940999000642,-0.09177532585238683,0.552093107769846,0.6565475870795316,-0.2391353467332425,0.3635658442042276,0.8583639515495315,-0.24876121732855147,0.05378772364651057,-0.22029499080972437,0.37480693067465737,0.35029648345200376,-0.12506365549462511,0.245357862822004,-0.004148474186043247,0.3204253526511248,-0.13302070723530543,0.731918123941088,-0.14112522215156134,0.24886089326275243,-0.17958379031989713,0.17987820115089753,0.19881082320213145,-0.15980402944858535,0.12362957670580031,-0.18401941796889792,0.11725934426248454,-0.12276439309405167,0.7684656934826923,0.2728157362752344,0.34474857334199793,0.556165612583034,0.29177455041478595,0.48341789661530987,0.6374156833406781,-0.1400857244128969,0.2114059498940907,0.16956226759579898,-0.052963187698211504,0.7202140758646647,0.0504843619493094,0.1326203538480655,0.2405334699978457,0.3351638294764579,0.17189366233455558,0.09431290915653062,-0.08936355480605032,-0.2091305513439919,0.02444443520920791,0.050841821068219474,0.7920840413839414,0.30452358958728426,0.33984427167015235,0.1868332401831659,0.8452043055196535,0.07685928332945341,0.38776744784149897,0.7318825611852099,0.28151652863185517,0.3871578690052755,0.8751247853438068,-0.17400005549759254,0.34170413571060454,0.5951839054727989,-0.1263351254338394,-0.03426690222687934,0.18095725108711047,0.7408175114832626,0.34677465717914463,0.41753426877442334,0.07161882545668295,-0.016893161010439223,0.1910992637408909,0.1598968973552024,0.6043889086747518,-0.1607572960655202,0.2578812220770675,0.12438939228601983,0.20030201070617912,0.2657950471679915
CBPRDciv_%cbprd,-0.5276817315328137,-0.38113047368022007,-0.3136653175455337,-0.5428430262485171,-0.46963602408338845,-0.720151770473675,1.0,-0.9999999999999993,0.03830384993159149,0.12053625579485548,0.0697324522490092,-0.47069986046689444,-0.6561552583559674,0.25207682304874734,-0.15191812449464992,-0.5613078454855694,0.2487076479678917,0.004972939096541476,0.19193782279196486,-0.2977095565514166,-0.1370878364634714,0.08395434163243148,-0.10960231518254118,-0.011435228162582698,-0.17208821402171942,0.1420213210806719,-0.5321951398480734,0.08787487237947335,-0.2593391354749809,0.143072158839282,-0.17166576245562581,-0.13078807552126473,0.14987409235913088,-0.133584468484211,0.09259229219014062,-0.12501479460143952,0.08748897197461296,-0.5016887116815009,-0.24139641644887783,-0.24496032801482354,-0.4634344064076568,-0.21786189486441881,-0.27309209404601836,-0.3226915530759487,0.04640590448690662,-0.1902952432991013,-0.17169434183975985,0.06408335472385553,-0.4553153623519854,0.08589316725268896,-0.2885129111252092,-0.15630913394510246,-0.20388872258664073,-0.14693849887908536,0.02620297821178076,0.0496580324584758,0.14720927420068036,-0.017092559890528537,-0.015895239660193492,-0.5224491643195779,-0.10664516415019355,-0.2420660142827326,-0.11465639034814966,-0.5371103724130762,-0.03877187660178328,-0.23943793710161304,-0.4624857864490572,-0.1654045057799198,-0.24037023710188288,-0.6581786682487045,0.05746262063440634,-0.3701300744366811,-0.3943154267541507,0.09439471631237317,0.03282997388170478,-0.12436417364945264,-0.5286682204925344,-0.21935133655954572,-0.2485584897840164,0.026228294144911412,-0.00029195488238588943,-0.1316946109162942,-0.06488469740849494,-0.39721017897965794,0.07537223971134369,-0.17285984236232174,-0.08542453303116261,-0.12342428216183571,-0.18085683543272385
CBPRDdef_%cbprd,0.5276817315318935,0.3811304736755235,0.31366531754121485,0.5428430262401176,0.469636024076214,0.7201517704710795,-0.9999999999999993,1.0,-0.03830384993926877,-0.12053625578571885,-0.06973245224908277,0.4706998604715848,0.6561552583585754,-0.2520768230443758,0.15191812449057654,0.5613078454831525,-0.2487076479579659,-0.004972939083487788,-0.19193782278981916,0.2977095565451754,0.13708783645503614,-0.08395434163248423,0.10960231517914597,0.011435228160047505,0.17208821401545593,-0.14202132107797213,0.532195139842987,-0.08787487239255336,0.2593391354649284,-0.1430721588510937,0.17166576244936918,0.1307880755172811,-0.14987409235654295,0.13358446848152686,-0.09259229219927594,0.12501479459520579,-0.08748897198681212,0.5016887116779418,0.24139641644989496,0.24496032801534845,0.46343440641228395,0.21786189487015695,0.27309209404069473,0.322691553074522,-0.04640590449447034,0.19029524329991,0.17169434184240145,-0.06408335472560764,0.4553153623488402,-0.08589316725385582,0.2885129111229167,0.15630913393565932,0.2038887225822888,0.14693849888528365,-0.02620297821339962,-0.04965803245349472,-0.14720927419037486,0.01709255989924519,0.01589523966853293,0.522449164315726,0.10664516415951707,0.2420660142847693,0.1146563903448256,0.5371103724105036,0.038771876607346725,0.2394379371031366,0.4624857864445587,0.16540450577816768,0.2403702371027302,0.6581786682456764,-0.057462620636132444,0.3701300744421511,0.3943154267567899,-0.09439471630587129,-0.03282997387781903,0.12436417364382944,0.5286682204949579,0.2193513365568976,0.24855848978926923,-0.026228294145864223,0.0002919548817952628,0.13169461090982457,0.06488469741792866,0.39721017897351896,-0.07537223971693885,0.17285984235937812,0.08542453304153971,0.12342428215627724,0.1808568354439645
CBPRDdeveco_%cbprdciv,-0.16397144877379496,-0.1106308619411562,-0.07380131760808582,-0.06249624223219982,-0.08058429268287257,-0.1545874211902062,0.03830384993159149,-0.03830384993926877,1.0,-0.04757495733159831,-0.18278315644746668,0.0024978080757862998,-0.032948819127156435,-0.4142265244282467,0.018963572963192628,-0.20833461767749484,-0.19355288125629194,-0.29515765956452167,-0.1620800416576725,-0.06763728766962046,-0.06138287634040835,-0.13850657033430724,-0.10854092228864694,0.09119432806982947,-0.052315661922055105,-0.200585188520555,-0.10849262040804541,0.1839269923822636,0.15806553657667446,0.17427968783152825,0.02098740129401186,0.04839313399709427,-0.16235995831583286,0.05950141716217597,0.09885809797390299,0.04090823450882295,0.2034795950482547,-0.121995718250941,-0.025810169181788155,0.021716075976956257,-0.11639045052637385,0.015772561481749294,-0.030617685359761386,-0.04650779409854868,-0.0011356257349562885,0.0968068179559162,0.25002192049156763,0.02496923106542007,-0.11146953508799438,-0.037764565160303916,0.1767612687380633,0.12138515263475982,-0.03031691482473988,0.0037067429798021854,-0.1552672181300515,-0.09421696559790259,-0.19459814009459947,-0.03992775907874875,0.16482152465886857,-0.13428118430452368,-0.14208307766052525,-0.02700140549638019,0.04799197840854456,-0.1580214701559149,0.06748312023615195,-0.035881611204263045,-0.10720796200079874,-0.02332655537773606,0.026085305787880413,-0.1479912715112892,0.06730989044017031,-0.09858229013700212,-0.17328771665363807,-0.07749159838806491,0.010236537632636685,-0.037493629131969713,-0.24805610079517204,-0.032402098364561566,-0.27208729358561984,-0.17282212726585583,0.2754540713713104,-0.037259708147005945,-0.11332320804092928,-0.07228662239205788,-0.0878027838394872,-0.001695185007545106,-0.07174869489950018,0.006678180470777405,-0.17867035282706875
CBPRDenssoc_%cbprdciv,-0.0926101354828099,-0.09913766406717864,-0.08247019358342329,-0.1494142911630249,-0.14502684424410767,-0.13060940999000642,0.12053625579485548,-0.12053625578571885,-0.04757495733159831,1.0,0.01791735662212809,0.09386687865838406,-0.12001685395544638,-0.10891990153410636,-0.09250373678529776,-0.12594049635036708,0.07945484017009188,-0.01214310424870801,0.03211570158257668,-0.10195489105637309,-0.10620377429659317,0.09909104715360172,-0.06882741018294693,-0.03167264693052232,-0.10607378332979538,0.057210848615734396,-0.10748662229621604,-0.0020934998381724346,-0.048136465272507145,0.0400482865289976,-0.06236011848122389,-0.05604055696099257,0.11402023452287514,-0.039277927319891784,0.014526790404662772,-0.06621281766483718,0.022870840756798592,-0.10311299007404276,-0.04960648822258729,-0.05834563944758715,-0.03426181667695654,-0.041107553255747734,-0.09643132700473182,-0.09486630691032143,0.06308664184389619,-0.060025897928871454,-0.06139670142462379,-0.03547306074408315,-0.0959213638592553,-0.016811753609740982,-0.057470770156540014,-0.12396494100236198,-0.07630196364353169,-0.04444645210643726,-0.037641800780982414,0.07012464215063798,0.12961791826976712,0.056444922074883656,0.0030080065818871315,-0.1073982957428562,0.02229150004892527,-0.058123005031165985,-0.03268664165427722,-0.09891724236693014,-0.004793849999579618,-0.06807354477316609,-0.10200689466382537,-0.03724394022235814,-0.05640558061414081,-0.11302473486808923,-0.017715016377605745,-0.07762351238463297,-0.06715438139891801,0.10016834373174859,0.009521259539244315,-0.055239816445903415,-0.08866966599482418,-0.09303790503187931,-0.0802268850442318,0.018211499365197933,0.012802408297755113,-0.06273342157999474,0.06720019993235253,-0.10812398515357251,0.06790880790614136,-0.07736102054960119,0.05640014190489759,-0.07404152101259046,0.004427869159986299
